N, f, Alpha, T_le, Seed, Latency
3, 1, 0, 200, 1, 63
3, 1, 0, 200, 2, 46
3, 1, 0, 200, 3, 41
3, 1, 0, 200, 4, 133
3, 1, 0, 200, 5, 126
3, 1, 0, 100, 1, 63
3, 1, 0, 100, 2, 46
3, 1, 0, 100, 3, 41
3, 1, 0, 100, 4, 132
3, 1, 0, 100, 5, 126
3, 1, 0, 50, 1, 63
3, 1, 0, 50, 2, 46
3, 1, 0, 50, 3, 41
3, 1, 0, 50, 4, 89
3, 1, 0, 50, 5, 67
3, 1, 0, 30, 1, 64
3, 1, 0, 30, 2, 46
3, 1, 0, 30, 3, 44
3, 1, 0, 30, 4, 65
3, 1, 0, 30, 5, 84
3, 1, 0, 20, 1, 63
3, 1, 0, 20, 2, 45
3, 1, 0, 20, 3, 43
3, 1, 0, 20, 4, 45
3, 1, 0, 20, 5, 44
3, 1, 0, 10, 1, 63
3, 1, 0, 10, 2, 45
3, 1, 0, 10, 3, 42
3, 1, 0, 10, 4, 45
3, 1, 0, 10, 5, 45
3, 1, 0.1, 200, 1, 63
3, 1, 0.1, 200, 2, 46
3, 1, 0.1, 200, 3, 130
3, 1, 0.1, 200, 4, 66
3, 1, 0.1, 200, 5, 89
3, 1, 0.1, 100, 1, 63
3, 1, 0.1, 100, 2, 46
3, 1, 0.1, 100, 3, 134
3, 1, 0.1, 100, 4, 66
3, 1, 0.1, 100, 5, 89
3, 1, 0.1, 50, 1, 64
3, 1, 0.1, 50, 2, 46
3, 1, 0.1, 50, 3, 90
3, 1, 0.1, 50, 4, 66
3, 1, 0.1, 50, 5, 88
3, 1, 0.1, 30, 1, 65
3, 1, 0.1, 30, 2, 46
3, 1, 0.1, 30, 3, 89
3, 1, 0.1, 30, 4, 66
3, 1, 0.1, 30, 5, 88
3, 1, 0.1, 20, 1, 63
3, 1, 0.1, 20, 2, 45
3, 1, 0.1, 20, 3, 44
3, 1, 0.1, 20, 4, 47
3, 1, 0.1, 20, 5, 93
3, 1, 0.1, 10, 1, 63
3, 1, 0.1, 10, 2, 45
3, 1, 0.1, 10, 3, 45
3, 1, 0.1, 10, 4, 48
3, 1, 0.1, 10, 5, 94
3, 1, 1, 200, 1, 43
3, 1, 1, 200, 2, 179
3, 1, 1, 200, 3, 88
3, 1, 1, 200, 4, 66
3, 1, 1, 200, 5, 44
3, 1, 1, 100, 1, 43
3, 1, 1, 100, 2, 133
3, 1, 1, 100, 3, 88
3, 1, 1, 100, 4, 66
3, 1, 1, 100, 5, 44
3, 1, 1, 50, 1, 43
3, 1, 1, 50, 2, 88
3, 1, 1, 50, 3, 93
3, 1, 1, 50, 4, 65
3, 1, 1, 50, 5, 44
3, 1, 1, 30, 1, 44
3, 1, 1, 30, 2, 65
3, 1, 1, 30, 3, 91
3, 1, 1, 30, 4, 66
3, 1, 1, 30, 5, 43
3, 1, 1, 20, 1, 45
3, 1, 1, 20, 2, 48
3, 1, 1, 20, 3, 43
3, 1, 1, 20, 4, 66
